









Frequency of observations in the selected location(s).:
Number of taxa: 	604

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Trumpeter/Tundra Swan (<em class="sci">Cygnus buccinator/columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.023E-4	
swan sp. (<em class="sci">Cygnus sp.</em>)	3.38E-4	5.797E-4	6.266E-4	0.0021876	8.536E-4	3.827E-4	3.383E-4	0.0027447	7.924E-4	0.0	7.94E-4	0.0	0.0	0.0	2.264E-4	0.0	0.0	7.31E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.552E-4	0.0	0.0	9.12E-5	8.4E-5	1.112E-4	4.89E-4	6.211E-4	0.001318	0.0011614	0.0013556	9.551E-4	0.0	0.0012092	
goose sp. (<em class="sci">Anatidae (goose sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.149E-4	0.0	3.505E-4	0.0	2.234E-4	0.0	2.738E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.523E-4	3.028E-4	3.797E-4	0.0	0.0	1.892E-4	4.506E-4	0.0	1.552E-4	9.44E-5	9.47E-5	3.647E-4	1.681E-4	3.335E-4	2.445E-4	0.0	3.295E-4	0.0	9.038E-4	9.551E-4	6.307E-4	0.0	
Ruddy Shelduck (<em class="sci">Tadorna ferruginea</em>)	0.0	0.0	0.002193	0.0021876	8.536E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.459E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (<em class="sci">Cairina moschata</em>)	0.0	0.0	9.398E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.738E-4	0.0	2.838E-4	4.665E-4	7.31E-5	0.0	1.342E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	6.611E-4	0.0013253	0.0012763	5.883E-4	8.894E-4	0.0012225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0116593	0.0124638	0.0056391	0.0062893	0.0102433	0.007654	0.0108254	0.0164684	0.0320919	0.0525762	0.0377134	0.0283735	0.0317834	0.0287514	0.0283062	0.026958	0.0225073	0.0198787	0.0156032	0.0123424	0.0137029	0.0154394	0.0113938	0.012008	0.0176041	0.0141671	0.0167345	0.0102937	0.016325	0.0169323	0.0174312	0.0204313	0.0184726	0.0267571	0.0279286	0.0329618	0.0326581	0.0629957	0.0816104	0.0963869	0.1127139	0.1099379	0.0744646	0.0452962	0.0275644	0.0272206	0.0189215	0.0163241	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.014363	0.0069565	0.0125313	0.0123052	0.0098165	0.0164562	0.0121786	0.0128088	0.0285261	0.0497722	0.0571655	0.0560769	0.0785756	0.0829682	0.0756341	0.0421396	0.0174927	0.0177593	0.0069804	0.0057687	0.0084086	0.0091053	7.596E-4	0.0016678	0.0025762	0.0014656	0.0	0.001211	3.797E-4	0.0106242	0.0321101	0.0438895	0.1043028	0.1168268	0.1272304	0.1181526	0.1033699	0.0980946	0.0822827	0.0760422	0.0569682	0.0468944	0.0299835	0.025842	0.0225938	0.02149	0.00883	0.0154172	
Blue-winged/Cinnamon Teal (<em class="sci">Spatula discors/cyanoptera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020275	0.0	1.552E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.1350118	0.1217391	0.1177945	0.1025431	0.0943235	0.0949101	0.1116373	0.1390668	0.1422345	0.1577287	0.1508535	0.1262288	0.1056504	0.0791347	0.0317029	0.0141884	0.0013994	0.0013886	4.927E-4	1.342E-4	0.0	0.0	3.798E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.174E-4	0.0069996	0.0400991	0.0397588	0.0491854	0.0755572	0.1003408	0.1215243	0.1486805	0.1735409	0.1679707	0.189441	0.1729819	0.1782811	0.1699051	0.1509074	0.0968149	0.1336155	
Gadwall (<em class="sci">Mareca strepera</em>)	0.1879013	0.1782609	0.1660401	0.1506699	0.1489543	0.1320321	0.1376861	0.1788655	0.1802694	0.1745531	0.1913458	0.1646559	0.1712772	0.1349945	0.1157156	0.072361	0.0565598	0.0564204	0.0596206	0.0669439	0.0710059	0.0649248	0.059248	0.0557038	0.0450837	0.0425012	0.0402533	0.0257342	0.0189825	0.0132802	0.0110092	0.0160802	0.0360442	0.0344828	0.0404965	0.0686626	0.0985422	0.1543441	0.1891074	0.2282379	0.200978	0.2257764	0.214827	0.2122532	0.2155445	0.2020057	0.1510564	0.168682	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.0038864	0.0104348	0.0059524	0.0021876	4.268E-4	0.0011481	6.766E-4	0.0091491	0.0047544	0.0066597	0.0055578	4.468E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.422E-4	0.0085337	0.0342841	0.0372965	0.069195	0.0751387	0.0734853	0.0513447	0.0583851	0.0517298	0.0452962	0.0320831	0.0138491	0.0072532	0.0021161	
American Wigeon (<em class="sci">Mareca americana</em>)	0.1388983	0.1237681	0.1130952	0.1121138	0.0960307	0.0998852	0.1079161	0.121226	0.090729	0.1005959	0.0726479	0.0612154	0.0417893	0.0336802	0.026721	0.0120602	0.0100292	0.0044581	0.0025458	0.0018782	0.0024914	0.0011876	0.0056969	0.0053369	8.587E-4	0.0019541	0.003166	0.001211	0.0072134	0.0036521	0.0033639	0.0017026	0.0049561	0.0105521	0.0335144	0.0764073	0.1121734	0.1622755	0.1858296	0.2102279	0.191687	0.2090062	0.1785832	0.1840883	0.1780389	0.1666667	0.1069063	0.140266	
