









Frequency of observations in the selected location(s).:
Number of taxa: 	929

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Anser sp. (<em class="sci">Anser sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57E-5	0.0	0.0	0.0	0.0	1.86E-5	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.0583376	0.0615449	0.0614199	0.0557455	0.0553361	0.0429129	0.0356027	0.0543937	0.0507476	0.0464259	0.0481983	0.0472967	0.0408506	0.0387097	0.0390357	0.0330877	0.0291788	0.0324922	0.032559	0.0192628	0.008733	0.0052523	0.00296	0.002036	0.0017522	0.0019974	0.0023994	0.0018859	0.0014653	0.0018216	0.0021335	0.0021555	0.0014019	0.0012779	0.0010073	0.0027854	0.0085315	0.0242267	0.0424504	0.0629303	0.064439	0.0616327	0.06157	0.0606686	0.0539107	0.054164	0.0517838	0.0608722	
Snow Goose x Brant (hybrid) (<em class="sci">Anser caerulescens x Branta bernicla</em>)	5.59E-5	7.62E-5	1.627E-4	7.12E-5	1.17E-4	1.105E-4	4.54E-5	1.548E-4	1.003E-4	2.23E-5	7.78E-5	8.32E-5	5.73E-5	2.76E-5	9.6E-6	6.9E-6	1.4E-5	2.0E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13E-5	4.72E-5	6.52E-5	8.75E-5	1.617E-4	7.52E-5	7.43E-5	2.211E-4	9.0E-5	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.0011548	0.0017515	7.383E-4	9.364E-4	0.001609	3.536E-4	2.799E-4	6.193E-4	6.643E-4	5.788E-4	4.999E-4	1.967E-4	5.73E-5	2.76E-5	2.112E-4	1.578E-4	2.1E-5	1.34E-5	0.0015	0.0	3.396E-4	1.3E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	6.14E-5	5.148E-4	1.38E-5	0.0015	5.539E-4	3.145E-4	3.095E-4	5.427E-4	0.0011861	0.0010158	5.389E-4	6.633E-4	7.535E-4	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0054575	0.0060669	0.0045427	0.0034606	0.0033351	0.0015137	0.0012785	0.0042576	0.0077331	0.0097393	0.0053986	0.0028591	7.643E-4	3.125E-4	1.632E-4	1.441E-4	4.9E-5	6.7E-6	0.0	7.93E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97E-5	4.234E-4	0.0013129	0.0021035	0.0029801	0.0048619	0.0062738	0.0069188	0.0073946	0.0076153	0.0080739	0.0078816	0.0069865	0.005022	0.0042733	
Snow x Cackling Goose (hybrid) (<em class="sci">Anser caerulescens x Branta hutchinsii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	7.6E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35E-5	0.0	0.0	0.0	0.0	
Ross's x Cackling Goose (hybrid) (<em class="sci">Anser rossii x Branta hutchinsii</em>)	0.0	0.0010408	6.883E-4	9.873E-4	4.39E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35E-5	0.0	0.0	0.0	0.0	
Brant x Cackling Goose (hybrid) (<em class="sci">Branta bernicla x hutchinsii</em>)	0.0	0.0	0.0	1.02E-5	1.46E-5	0.0	0.0	0.0	0.0	0.0	2.22E-5	7.6E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted x Cackling Goose (hybrid) (<em class="sci">Anser albifrons x Branta hutchinsii</em>)	9.3E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Barnacle x Cackling Goose (hybrid) (<em class="sci">Branta leucopsis x hutchinsii</em>)	2.79E-5	0.0	0.0	0.0	0.0	0.0	0.0	5.16E-5	1.25E-5	2.23E-5	1.11E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13E-5	0.0	1.466E-4	1.75E-5	2.291E-4	1.693E-4	5.57E-5	0.0	4.5E-5	
